DateOfOffence,Issue_Date,Location,Section_No,AreaName,Latitude,Longitude
09/12/2020 00:00,08/01/2021 00:00,East Essex Street,3.1,SOUTH EAST,53.3451338,-6.2659764
05/01/2021 00:00,08/01/2021 00:00,Brookfield,3.1,NORTH CENTRAL,53.3131188,-6.3014686
12/10/2020 00:00,08/01/2021 00:00,bring Centre Raheny Library,3.1,NORTH CENTRAL,53.3799862,-6.1730329
27/11/2020 00:00,12/01/2021 00:00,Old County Road,3.1,SOUTH CENTRAL,53.3280078,-6.3025062
09/10/2020 00:00,15/01/2021 00:00,Ballymun road,3.1,NORTH WEST,53.3853859,-6.2651986
11/10/2020 00:00,15/01/2021 00:00,Tesco Ballyfermot,3.1,SOUTH CENTRAL,53.3416958,-6.3531507
05/01/2021 00:00,15/01/2021 00:00,Grangegorman Bring Centre,3.1,CENTRAL,53.3553418,-6.2779526
14/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
13/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
16/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
07/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
02/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
05/11/2020 00:00,19/01/2021 00:00,Ballymun Road Bring Centre,3.1,NORTH WEST,53.3853859,-6.2651986
08/11/2020 00:00,19/01/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
09/11/2020 00:00,19/01/2021 00:00,Bring Centre Tonlegee Road,3.1,NORTH CENTRAL,53.3907807,-6.1833268
03/11/2020 00:00,20/01/2021 00:00,Clontarf Road Bring Centre,3.1,NORTH CENTRAL,53.3601595,-6.2024344
08/11/2020 00:00,20/01/2021 00:00,clontarf Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
18/11/2020 00:00,20/01/2021 00:00,Ballymun road Bring Centre,3.1,NORTH WEST,53.3853859,-6.2651986
19/11/2020 00:00,20/01/2021 00:00,Raheny Library Bring Centre,3.1,NORTH CENTRAL,53.3799862,-6.1730329
09/11/2020 00:00,20/01/2021 00:00,sundrive Road Bring Centre,3.1,SOUTH EAST,53.3258574,-6.2894289
22/09/2020 00:00,21/01/2021 00:00,Raheny Library Bring Centre,3.1,NORTH CENTRAL,53.3799862,-6.1730329
06/09/2020 00:00,21/01/2021 00:00,sundrive Road Bring Centre,3.1,SOUTH EAST,53.3258574,-6.2894289
06/09/2020 00:00,21/01/2021 00:00,Sundrive Road Bring Centre,3.1,SOUTH EAST,53.3258574,-6.2894289
05/09/2020 00:00,21/01/2021 00:00,sundrive Road Bring Centre,3.1,SOUTH EAST,53.3258574,-6.2894289
03/09/2020 00:00,21/01/2021 00:00,Bring Centre Alfie Byrne Road,3.1,NORTH CENTRAL,53.3610652,-6.2282948
07/09/2020 00:00,21/01/2021 00:00,Ballymun library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
09/09/2020 00:00,21/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
10/09/2020 00:00,21/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
12/09/2020 00:00,21/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
13/09/2020 00:00,21/01/2021 00:00,Ballymun Library Bring Centrer,3.1,NORTH WEST,53.390409,-6.2651894
13/09/2020 00:00,22/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
13/09/2020 00:00,22/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
13/09/2020 00:00,22/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
14/09/2020 00:00,22/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
15/09/2020 00:00,22/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
07/09/2020 00:00,22/01/2021 00:00,Ballymun Road Bring Centre,3.1,NORTH WEST,53.3853859,-6.2651986
13/09/2020 00:00,22/01/2021 00:00,Ballymun Road Bring Centrer,3.1,NORTH WEST,53.3853859,-6.2651986
11/09/2020 00:00,22/01/2021 00:00,Ballymun Road Bring Centre,3.1,NORTH WEST,53.3853859,-6.2651986
09/11/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
09/09/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
09/09/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
10/09/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
12/09/2020 00:00,22/01/2021 00:00,ballyboggan road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
14/09/2020 00:00,22/01/2021 00:00,Ballyboggasn Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
10/09/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
10/09/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
11/09/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
07/11/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
25/11/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
24/11/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
21/11/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
24/11/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centrer,3.1,CENTRAL,53.3757932,-6.2977186
21/11/2020 00:00,22/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
11/10/2020 00:00,27/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
11/10/2020 00:00,27/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
11/10/2020 00:00,27/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
17/10/2020 00:00,27/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
14/10/2020 00:00,27/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
21/10/2020 00:00,27/01/2021 00:00,Ballybogganroad Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
18/09/2020 00:00,27/01/2021 00:00,Ballyfermot Bring Cewntre Tesco,3.1,SOUTH CENTRAL,53.3422507,-6.353559799999999
03/10/2020 00:00,27/01/2021 00:00,Ballyfermot Bring Centre Tesco,3.1,SOUTH CENTRAL,53.3422507,-6.353559799999999
28/09/2020 00:00,27/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
29/09/2020 00:00,27/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
01/10/2020 00:00,27/01/2021 00:00,`Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
03/10/2020 00:00,27/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
06/10/2020 00:00,27/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
24/09/2020 00:00,27/01/2021 00:00,Alfie Byrne Road Bring Centre,3.1,NORTH CENTRAL,53.3610652,-6.2282948
29/09/2020 00:00,27/01/2021 00:00,alfie Byrne Road Bring Centre,3.1,NORTH CENTRAL,53.3610652,-6.2282948
01/01/2021 00:00,27/01/2021 00:00,North King Street,3.1,CENTRAL,53.34992,-6.2759712
16/12/2020 00:00,27/01/2021 00:00,Malahide Road,3.1,NORTH CENTRAL,53.403889,-6.1833574
21/11/2020 00:00,27/01/2021 00:00,Ballyfermot Shopping Centre Bring Centre,3.1,SOUTH CENTRAL,53.3868698,-6.2545437
22/11/2020 00:00,27/01/2021 00:00,Ballyfermot Shopping Centre Bring Centre,3.1,SOUTH CENTRAL,53.3868698,-6.2545437
16/11/2020 00:00,27/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
17/11/2020 00:00,27/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
17/11/2020 00:00,27/01/2021 00:00,Ballybnoggan Road Bring Banks,3.1,CENTRAL,53.3757932,-6.2977186
17/11/2020 00:00,27/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
21/11/2020 00:00,27/01/2021 00:00,Ballymun Road Bring Centre,3.1,NORTH WEST,53.3853859,-6.2651986
25/11/2020 00:00,27/01/2021 00:00,Ballymun Road Bring Centre,3.1,NORTH WEST,53.3853859,-6.2651986
26/11/2020 00:00,27/01/2021 00:00,Ballymun roaD bRING CENTRE,3.1,NORTH WEST,53.3853859,-6.2651986
27/11/2020 00:00,27/01/2021 00:00,Ballymun Road Bring Centre,3.1,NORTH WEST,53.3853859,-6.2651986
28/11/2020 00:00,27/01/2021 00:00,Ballymun Road Bring Centre,3.1,NORTH WEST,53.3853859,-6.2651986
29/11/2020 00:00,27/01/2021 00:00,bALLYMUN rOAD bRING cENTRE,3.1,NORTH WEST,53.3853859,-6.2651986
19/11/2020 00:00,27/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
19/11/2020 00:00,27/01/2021 00:00,Ballymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
21/11/2020 00:00,27/01/2021 00:00,Ballymun Library Bring Centrer,3.1,NORTH WEST,53.390409,-6.2651894
21/11/2020 00:00,27/01/2021 00:00,Basllymun Library Bring Centre,3.1,NORTH WEST,53.390409,-6.2651894
17/11/2020 00:00,27/01/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
15/01/2021 00:00,02/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
19/01/2021 00:00,02/02/2021 00:00,Kylemore park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
19/01/2021 00:00,02/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
20/01/2021 00:00,02/02/2021 00:00,Kylemore Parek North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
21/01/2021 00:00,02/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
21/01/2021 00:00,02/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
13/01/2021 00:00,02/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
15/01/2021 00:00,02/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
14/01/2021 00:00,02/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
22/01/2021 00:00,02/02/2021 00:00,Cherry Orchard Drive,3.1,SOUTH CENTRAL,53.3375365,-6.3647391
22/01/2021 00:00,02/02/2021 00:00,Rialto Cottages,3.1,SOUTH CENTRAL,53.337003,-6.2961705
28/01/2021 00:00,09/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
28/01/2021 00:00,09/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
26/01/2021 00:00,09/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
29/01/2021 00:00,09/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
23/11/2020 00:00,11/02/2021 00:00,Ballyfermot Shopping Centre,3.1,SOUTH CENTRAL,53.3422507,-6.353559799999999
20/11/2020 00:00,11/02/2021 00:00,Clontarf Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
23/11/2020 00:00,11/02/2021 00:00,Tonlegee Road Bring Centre,3.1,NORTH CENTRAL,53.3907807,-6.1833268
26/11/2020 00:00,11/02/2021 00:00,Tonlegee Road Bring Centre,3.1,NORTH CENTRAL,53.3907807,-6.1833268
26/11/2020 00:00,11/02/2021 00:00,TONLEGEE ROAD BRING CENTRE,3.1,NORTH CENTRAL,53.3907807,-6.1833268
28/11/2020 00:00,11/02/2021 00:00,Tonlegee Road Bring Centre,3.1,NORTH CENTRAL,53.3907807,-6.1833268
28/11/2020 00:00,11/02/2021 00:00,tonlegee Road Bring Centre,3.1,NORTH CENTRAL,53.3907807,-6.1833268
09/02/2021 00:00,11/02/2021 00:00,Moatview Drive,3.1,NORTH CENTRAL,53.4034189,-6.20106
08/02/2021 00:00,12/02/2021 00:00,Constitution Hill,3.1,CENTRAL,53.35294,-6.27309
09/02/2021 00:00,12/02/2021 00:00,Junction Kilmore Avenue / Road,3.1,NORTH CENTRAL,53.2586658,-6.1147282
27/12/2020 00:00,15/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
27/12/2020 00:00,15/02/2021 00:00,Kylemore Park north,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
28/12/2020 00:00,15/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
26/12/2020 00:00,15/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
26/12/2020 00:00,15/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
27/12/2020 00:00,15/02/2021 00:00,Kylemore Park north,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
26/12/2020 00:00,15/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
27/12/2020 00:00,15/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
26/12/2020 00:00,15/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
27/12/2020 00:00,15/02/2021 00:00,kYLEMORE pARK nORTH,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
27/12/2020 00:00,15/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
28/01/2021 00:00,16/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
02/02/2021 00:00,16/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
02/02/2021 00:00,16/02/2021 00:00,Cherry Orchard Way,3.1,SOUTH CENTRAL,53.336414,-6.3698902
02/02/2021 00:00,16/02/2021 00:00,Cherry Orchard Way,3.1,SOUTH CENTRAL,53.336414,-6.3698902
02/01/2021 00:00,18/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
02/01/2021 00:00,18/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
02/01/2021 00:00,18/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
02/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
02/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
02/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
31/12/2020 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
31/12/2020 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
31/12/2020 00:00,19/02/2021 00:00,Kylemorew Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
31/12/2020 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
31/12/2020 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
31/12/2020 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
31/12/2020 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
01/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
01/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
01/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
01/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
01/01/2021 00:00,18/02/2021 00:00,kYLEMORE pARK nORTH,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
01/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
01/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
01/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
02/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
02/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
02/01/2021 00:00,19/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
03/02/2021 00:00,22/02/2021 00:00,Laneway beside 411 Howth Road,3.1,NORTH CENTRAL,53.3798335,-6.1772143
27/12/2020 00:00,26/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
27/12/2020 00:00,26/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
28/12/2020 00:00,26/02/2021 00:00,KylemorePark north,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
27/12/2020 00:00,26/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
28/12/2020 00:00,25/02/2021 00:00,Kylemore Park north,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
27/12/2020 00:00,26/02/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
23/02/2021 00:00,01/03/2021 00:00,Arbour hill,3.1,CENTRAL,53.3516251,-6.2888873
18/02/2021 00:00,26/02/2021 00:00,Vauxhall Avenue,3.1,SOUTH CENTRAL,53.3498053,-6.2603097
30/10/2020 00:00,02/03/2021 00:00,Whitehall Church Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
31/10/2020 00:00,02/03/2021 00:00,Whitehall Church Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
02/11/2020 00:00,02/03/2021 00:00,Whitehall Church Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
02/11/2020 00:00,02/03/2021 00:00,Whitehall Church Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
03/11/2020 00:00,02/03/2021 00:00,Whitehall Church Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
04/11/2020 00:00,02/03/2021 00:00,Whitehall Church Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
05/11/2020 00:00,02/03/2021 00:00,Whitehall Church Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
21/11/2020 00:00,02/03/2021 00:00,Tolka Valley Road Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
22/11/2020 00:00,02/03/2021 00:00,Tolka Valley Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
22/11/2020 00:00,02/03/2021 00:00,Tolka Valley Road Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
22/11/2020 00:00,02/03/2021 00:00,Tolka Valley Road Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park north,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
26/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
03/01/2021 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
03/01/2021 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
03/01/2021 00:00,02/03/2021 00:00,Kylemore PaRK nORTH,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
26/12/2020 00:00,02/03/2021 00:00,Kylemore Park north,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park north,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
25/12/2020 00:00,02/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
26/12/2020 00:00,03/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
26/12/2020 00:00,03/03/2021 00:00,`Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
26/12/2020 00:00,03/03/2021 00:00,Kylemore Park north,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
26/12/2020 00:00,03/03/2021 00:00,Kylemore Park North,3.1,SOUTH CENTRAL,53.3355498,-6.3516223
05/12/2020 00:00,03/03/2021 00:00,Ballyfermot Shopping Centre,3.1,SOUTH CENTRAL,53.3422507,-6.353559799999999
05/12/2020 00:00,03/03/2021 00:00,Ballyfermot Shopping Centre,3.1,SOUTH CENTRAL,53.3422507,-6.353559799999999
11/12/2020 00:00,03/03/2021 00:00,`Ballyfermot Shopping Centre,3.1,SOUTH CENTRAL,53.3422507,-6.353559799999999
11/12/2020 00:00,03/03/2021 00:00,Ballyfermot Shopping Centre,3.1,SOUTH CENTRAL,53.3422507,-6.353559799999999
15/11/2020 00:00,03/03/2021 00:00,Tonlegee Road Bring Centre,3.1,NORTH CENTRAL,53.3907807,-6.1833268
16/11/2020 00:00,03/03/2021 00:00,Tonlegee Road Bring Centre,3.1,NORTH CENTRAL,53.3907807,-6.1833268
16/11/2020 00:00,03/03/2021 00:00,Tonlegee Road Bring Centre,3.1,NORTH CENTRAL,53.3907807,-6.1833268
18/11/2020 00:00,03/03/2021 00:00,Tonlegee Road Bring Centre,3.1,NORTH CENTRAL,53.3907807,-6.1833268
28/11/2020 00:00,03/03/2021 00:00,Tolka Valley Road Bring Centre,3.1,NORTH WEST,53.3783042,-6.3021173
15/11/2020 00:00,03/03/2021 00:00,Whitehall Church Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
18/11/2020 00:00,03/03/2021 00:00,Whitehall Church  Bring Centre,3.1,NORTH CENTRAL,53.3868698,-6.2545437
06/12/2020 00:00,03/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
08/12/2020 00:00,03/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
06/12/2020 00:00,03/03/2021 00:00,Ballyboggan road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
08/12/2020 00:00,03/03/2021 00:00,Ballyboggan Road bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
09/12/2020 00:00,03/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
12/12/2020 00:00,04/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
12/12/2020 00:00,04/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
14/12/2020 00:00,04/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
14/12/2020 00:00,04/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
15/12/2020 00:00,04/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
15/12/2020 00:00,04/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
19/02/2021 00:00,05/03/2021 00:00,Belgrove Lawn Green Space,3.2,SOUTH CENTRAL,53.3521852,-6.3525627
04/03/2021 00:00,09/03/2021 00:00,Nassau Street,3.1,SOUTH EAST,53.342694,-6.2568068
09/02/2021 00:00,09/03/2021 00:00,South Great Georges Street,3.1,SOUTH EAST,53.3427392,-6.2644465
07/02/2021 00:00,09/03/2021 00:00,South William Street,3.1,SOUTH EAST,53.3421854,-6.2625291
02/02/2021 00:00,09/03/2021 00:00,Grafton Street,3.1,SOUTH EAST,53.3416362,-6.2601859
26/12/2020 00:00,29/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
27/12/2020 00:00,29/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
24/12/2020 00:00,29/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
24/12/2020 00:00,29/03/2021 00:00,Ballyboggan Road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
24/12/2020 00:00,29/03/2021 00:00,Ballyboggan road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
23/12/2020 00:00,29/03/2021 00:00,Ballyboggan road Bring Centre,3.1,CENTRAL,53.3757932,-6.2977186
